,City,Latitude,Longitude,Max Temp (Celsius),Humidity,Cloudiness,Wind Speed,Country,Date
151,clyde river,70.4692,-68.5914,-28.0,76,40,1.54,CA,1613955089
152,raduzhnyy,62.0961,77.475,-28.03,88,74,2.49,RU,1613955240
153,mimongo,-1.6195,11.6068,20.76,96,95,1.69,GA,1613955240
154,leh,34.1667,77.5833,-10.63,77,3,0.71,IN,1613955182
155,iqaluit,63.7506,-68.5145,-27.0,76,75,2.06,CA,1613954954
156,tuktoyaktuk,69.4541,-133.0374,-24.0,77,90,8.23,CA,1613954909
157,kattivakkam,13.2167,80.3167,23.0,94,40,1.54,IN,1613954881
158,ancud,-41.8697,-73.8203,13.33,71,0,1.54,CL,1613954904
159,constitucion,-35.3333,-72.4167,13.39,83,0,6.44,CL,1613954964
160,bosaso,11.2842,49.1816,21.93,76,93,1.64,SO,1613955242
161,butembo,0.15,29.2833,14.75,87,100,1.38,CD,1613955242
162,fortuna,40.5982,-124.1573,12.22,76,1,6.69,US,1613954894
163,aksu,41.1231,80.2644,0.74,80,99,1.18,CN,1613955243
164,manggar,-2.8833,108.2667,27.93,75,100,4.85,ID,1613955244
165,pyay,18.8167,95.2167,24.19,46,59,1.53,MM,1613955244
166,oistins,13.0667,-59.5333,24.0,73,40,6.17,BB,1613955128
167,batemans bay,-35.7167,150.1833,20.0,89,100,3.52,AU,1613955244
168,crotone,39.0851,17.1178,6.67,84,0,2.09,IT,1613955245
169,faya,18.3851,42.4509,15.0,94,0,5.14,SA,1613955185
170,east london,-33.0153,27.9116,18.6,69,21,4.37,ZA,1613954949
171,klaksvik,62.2266,-6.589,7.0,87,90,10.29,FO,1613954952
172,petropavlovsk-kamchatskiy,53.0452,158.6483,0.0,59,40,3.0,RU,1613954695
173,yerbogachen,61.2767,108.0108,-30.91,86,85,2.17,RU,1613954962
174,coihaique,-45.5752,-72.0662,11.0,71,75,3.09,CL,1613954889
175,codrington,-38.2667,141.9667,16.1,64,100,8.38,AU,1613954966
176,miandrivazo,-19.5167,45.4667,25.45,84,100,1.85,MG,1613954888
177,guerrero negro,27.9769,-114.0611,22.54,21,0,2.71,MX,1613954938
178,mahebourg,-20.4081,57.7,24.0,94,75,1.54,MU,1613954879
179,meadow lake,34.8014,-106.5436,7.78,18,1,8.23,US,1613954963
180,chuy,-33.6971,-53.4616,20.41,84,0,4.5,UY,1613954882
181,dalbandin,28.8947,64.4101,15.82,45,0,3.47,PK,1613955249
182,kiunga,-6.1219,141.2906,29.45,78,97,1.01,PG,1613955085
183,uppsala,60.0,17.75,3.33,100,90,1.54,SE,1613955249
184,chabahar,25.2919,60.643,21.27,59,0,3.24,IR,1613954970
185,tual,-5.6667,132.75,28.14,77,100,8.65,ID,1613954957
186,saskylakh,71.9167,114.0833,-33.04,84,95,1.8,RU,1613954893
187,torbay,47.6666,-52.7314,-11.11,61,75,10.8,CA,1613954910
188,neuquen,-38.9516,-68.0591,25.0,25,0,4.63,AR,1613955250
189,bredasdorp,-34.5322,20.0403,12.0,76,59,2.2,ZA,1613954848
190,gallup,35.5281,-108.7426,5.0,22,1,7.2,US,1613955251
191,salinopolis,-0.6136,-47.3561,26.3,84,100,4.2,BR,1613954964
192,qaanaaq,77.484,-69.3632,-26.16,71,100,2.01,GL,1613954850
193,rawson,-43.3002,-65.1023,18.57,30,96,9.11,AR,1613954947
194,broome,42.2506,-75.833,-5.0,54,1,1.54,US,1613955252
195,norfolk,42.1668,-71.2495,-3.33,54,1,1.69,US,1613955252
196,pahrump,36.2083,-115.9839,16.11,16,0,1.34,US,1613955149
197,maniitsoq,65.4167,-52.9,-5.69,88,21,7.49,GL,1613954967
198,taoudenni,22.6783,-3.9836,21.91,18,0,3.4,ML,1613955253
199,pierre,44.3683,-100.351,6.0,33,1,4.63,US,1613955254
200,bambous virieux,-20.3428,57.7575,24.44,94,75,1.54,MU,1613954904
201,jacareacanga,-6.2222,-57.7528,22.95,90,100,0.69,BR,1613955254
202,chokurdakh,70.6333,147.9167,-36.29,83,27,3.25,RU,1613954858
203,sept-iles,50.2001,-66.3821,-7.0,45,1,1.54,CA,1613954980
204,wanning,18.8003,110.3967,20.54,76,61,0.94,CN,1613955255
205,talnakh,69.4865,88.3972,-37.89,81,8,1.43,RU,1613954927
206,olafsvik,64.8945,-23.7142,3.08,79,100,3.6,IS,1613954937
207,panguna,-6.3164,155.4848,27.07,79,85,0.09,PG,1613955256
208,nikolskoye,59.7035,30.7861,-11.0,85,75,6.0,RU,1613954875
209,camacha,33.0833,-16.3333,17.0,72,40,7.2,PT,1613955013
210,charters towers,-20.1,146.2667,30.38,49,92,1.75,AU,1613955257
211,provideniya,64.3833,-173.3,-19.72,82,12,0.35,RU,1613954903
212,warangal,18.0,79.5833,19.01,89,0,2.65,IN,1613955257
213,phuket,8.0,98.25,28.33,69,20,2.57,TH,1613955089
214,paso de los toros,-32.8167,-56.5167,23.64,54,0,5.27,UY,1613955258
215,chake chake,-5.2459,39.7666,25.85,83,100,2.25,TZ,1613955258
216,kahului,20.8947,-156.47,28.0,54,40,8.75,US,1613954772
217,sire,12.9299,5.2043,20.59,19,62,5.41,NG,1613955259
218,novo aripuana,-5.1206,-60.3797,23.61,94,99,1.03,BR,1613955259
219,narsaq,60.9167,-46.05,-10.0,67,95,4.63,GL,1613954934
220,tuatapere,-46.1333,167.6833,24.44,44,100,1.34,NZ,1613954916
